matricula,nome,situacao,data_matricula,cidade,site,email,telefone,uf,junta_comercial,fonte
22/04/2024,Erick Soares Teles,regular,22/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
14/05/2024,Marcus Vinicius Yoshimi Uebara,regular,14/05/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/06/2024,Renato Schlobach Moysés,regular,19/06/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/06/2024,Janderson Dias Garcia,regular,20/06/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/06/2024,Lucas Rafael Antunes Moreira,regular,20/06/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/06/2024,Alfio Carlos Affonso Zalli Neto,regular,20/06/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/07/2024,Viviane Teixeira Prates Hallal,regular,23/07/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/07/2024,Gustavo Moretto Guimarães De Oliveira,regular,23/07/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/07/2024,Francisco Hillesheim,regular,23/07/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/07/2024,Nathan Correa Alves,regular,23/07/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/07/2024,Érico Sobral Soares,regular,30/07/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/07/2024,Bernardo Bihr Lopes,regular,30/07/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/07/2024,José Sergio Della Giustina,regular,30/07/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
28/08/2024,Susan Andrielli Da Silva,regular,28/08/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
12/09/2024,Mário Lessa Freitas Filho,regular,12/09/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
